epoch = 0
sel = [0. 1.]
sel = [0. 1.]
sel = [0. 1.]
sel = [0. 1.]
sel = [0. 1.]
sel = [1. 0.]
sel = [1. 0.]
sel = [0. 1.]
sel = [0. 1.]
sel = [1. 0.]
sel = [1. 0.]
sel = [0. 1.]
sel = [0. 1.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [0. 1.]
sel = [0. 1.]
sel = [1. 0.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [0. 1.]
sel = [1. 0.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [0. 1.]
sel = [0. 1.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [0. 1.]
sel = [0. 1.]
sel = [0. 1.]
sel = [0. 1.]
sel = [0. 1.]
sel = [0. 1.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [0. 1.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [0. 1.]
sel = [1. 0.]
sel = [1. 0.]
sel = [0. 1.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [0. 1.]
sel = [0. 1.]
sel = [0. 1.]
sel = [1. 0.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [1. 0.]
sel = [0. 1.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [0. 1.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [0. 1.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [0. 1.]
sel = [0. 1.]
sel = [0. 1.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [0. 1.]
sel = [0. 1.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [1. 0.]
sel = [0. 1.]
sel = [0. 1.]
sel = [0. 1.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [1. 0.]
sel = [0. 1.]
sel = [1. 0.]
sel = [1. 0.]
sel = [0. 1.]
sel = [0. 1.]
sel = [0. 1.]
sel = [1. 0.]
